date,destination_id,destination,domestic_visitors,international_visitors,visitors,log1p_visitors,split,is_zero_day,data_quality_flag
2023-01-08,7,Lăng vua Minh Mạng,180,132,312,5.7462031905,train,False,observed_complete
2023-01-09,7,Lăng vua Minh Mạng,96,204,300,5.7071102647,train,False,observed_complete
2023-01-10,7,Lăng vua Minh Mạng,321,185,506,6.2285110036,train,False,observed_complete
2023-01-11,7,Lăng vua Minh Mạng,44,149,193,5.2678581591,train,False,observed_complete
2023-01-12,7,Lăng vua Minh Mạng,78,209,287,5.6629604801,train,False,observed_complete
2023-01-13,7,Lăng vua Minh Mạng,146,191,337,5.8230458955,train,False,observed_complete
2023-01-14,7,Lăng vua Minh Mạng,107,215,322,5.7776523232,train,False,observed_complete
2023-01-15,7,Lăng vua Minh Mạng,106,181,287,5.6629604801,train,False,observed_complete
2023-01-16,7,Lăng vua Minh Mạng,80,237,317,5.7620513828,train,False,observed_complete
2023-01-17,7,Lăng vua Minh Mạng,129,130,259,5.5606816310,train,False,observed_complete
2023-01-18,7,Lăng vua Minh Mạng,34,187,221,5.4026773819,train,False,observed_complete
2023-01-19,7,Lăng vua Minh Mạng,81,154,235,5.4638318050,train,False,observed_complete
2023-01-20,7,Lăng vua Minh Mạng,69,98,167,5.1239639794,train,False,observed_complete
2023-01-21,7,Lăng vua Minh Mạng,34,170,204,5.3230099791,train,False,observed_complete
2023-01-22,7,Lăng vua Minh Mạng,0,192,192,5.2626901889,train,False,observed_complete
2023-01-23,7,Lăng vua Minh Mạng,2,106,108,4.6913478822,train,False,observed_complete
2023-01-24,7,Lăng vua Minh Mạng,2,62,64,4.1743872699,train,False,observed_complete
2023-01-25,7,Lăng vua Minh Mạng,411,104,515,6.2461067655,train,False,observed_complete
2023-01-26,7,Lăng vua Minh Mạng,1001,91,1092,6.9966814882,train,False,observed_complete
2023-01-27,7,Lăng vua Minh Mạng,392,126,518,6.2519038832,train,False,observed_complete
2023-01-28,7,Lăng vua Minh Mạng,251,141,392,5.9738096119,train,False,observed_complete
2023-01-29,7,Lăng vua Minh Mạng,239,145,384,5.9532433343,train,False,observed_complete
2023-01-30,7,Lăng vua Minh Mạng,345,230,575,6.3561076607,train,False,observed_complete
2023-01-31,7,Lăng vua Minh Mạng,566,201,767,6.6437897331,train,False,observed_complete
2023-02-01,7,Lăng vua Minh Mạng,222,205,427,6.0591231956,train,False,observed_complete
2023-02-02,7,Lăng vua Minh Mạng,170,237,407,6.0112671744,train,False,observed_complete
2023-02-03,7,Lăng vua Minh Mạng,190,239,429,6.0637852087,train,False,observed_complete
2023-02-04,7,Lăng vua Minh Mạng,331,255,586,6.3750248198,train,False,observed_complete
2023-02-05,7,Lăng vua Minh Mạng,414,211,625,6.4393503711,train,False,observed_complete
2023-02-06,7,Lăng vua Minh Mạng,176,278,454,6.1202974190,train,False,observed_complete
2023-02-07,7,Lăng vua Minh Mạng,211,202,413,6.0258659738,train,False,observed_complete
2023-02-08,7,Lăng vua Minh Mạng,191,225,416,6.0330862218,train,False,observed_complete
2023-02-09,7,Lăng vua Minh Mạng,198,484,682,6.5264948596,train,False,observed_complete
2023-02-10,7,Lăng vua Minh Mạng,257,328,585,6.3733197896,train,False,observed_complete
2023-02-11,7,Lăng vua Minh Mạng,411,258,669,6.5072777124,train,False,observed_complete
2023-02-12,7,Lăng vua Minh Mạng,358,292,650,6.4785096422,train,False,observed_complete
2023-02-13,7,Lăng vua Minh Mạng,235,249,484,6.1841488909,train,False,observed_complete
2023-02-14,7,Lăng vua Minh Mạng,102,285,387,5.9610053396,train,False,observed_complete
2023-02-15,7,Lăng vua Minh Mạng,100,196,296,5.6937321388,train,False,observed_complete
2023-02-16,7,Lăng vua Minh Mạng,159,234,393,5.9763509093,train,False,observed_complete
2023-02-17,7,Lăng vua Minh Mạng,176,219,395,5.9814142113,train,False,observed_complete
