destination,horizon,seed,model,MAE,rank
Lăng vua Khải Định,7,1,ETS,465.60591447185055,8.0
Lăng vua Khải Định,7,1,LSTM,429.2892598087313,3.0
Lăng vua Khải Định,7,1,RF,390.7112745101016,2.0
Lăng vua Khải Định,7,1,SARIMAX,453.1061195820573,6.0
Lăng vua Khải Định,7,1,SeasonalNaive7,453.7647058823531,7.0
Lăng vua Khải Định,7,1,TFT,354.7995126629403,1.0
Lăng vua Khải Định,7,7,ARIMAX,436.6173280353984,3.0
Lăng vua Khải Định,7,7,DLM,464.89550922472654,6.0
Lăng vua Khải Định,7,7,ETS,465.60591447185055,7.0
Lăng vua Khải Định,7,7,LSTM,471.41126421441976,8.0
Lăng vua Khải Định,7,7,RF,393.489358422975,2.0
Lăng vua Khải Định,7,7,SARIMAX,453.1061195820573,4.0
Lăng vua Khải Định,7,7,SeasonalNaive7,453.7647058823531,5.0
Lăng vua Khải Định,7,7,TFT,303.6534427200233,1.0
Lăng vua Khải Định,7,42,ARIMAX,436.6173280353984,3.0
Lăng vua Khải Định,7,42,DLM,474.58682259952434,8.0
Lăng vua Khải Định,7,42,ETS,465.60591447185055,7.0
Lăng vua Khải Định,7,42,LSTM,454.1282435854821,6.0
Lăng vua Khải Định,7,42,RF,394.2517324409733,1.0
Lăng vua Khải Định,7,42,SARIMAX,453.1061195820573,4.0
Lăng vua Khải Định,7,42,SeasonalNaive7,453.7647058823531,5.0
Lăng vua Khải Định,7,42,TFT,404.4207837858253,2.0
Lăng vua Khải Định,7,77,ARIMAX,436.6173280353984,3.0
Lăng vua Khải Định,7,77,DLM,437.43688537543665,4.0
Lăng vua Khải Định,7,77,ETS,465.60591447185055,8.0
Lăng vua Khải Định,7,77,LSTM,461.56257289823384,7.0
Lăng vua Khải Định,7,77,RF,403.40117607279007,2.0
Lăng vua Khải Định,7,77,SARIMAX,453.1061195820573,5.0
Lăng vua Khải Định,7,77,SeasonalNaive7,453.7647058823531,6.0
Lăng vua Khải Định,7,77,TFT,345.13303438471166,1.0
Lăng vua Khải Định,7,99,ARIMAX,436.6173280353984,4.0
Lăng vua Khải Định,7,99,DLM,422.2406385691104,3.0
Lăng vua Khải Định,7,99,ETS,465.60591447185055,8.0
Lăng vua Khải Định,7,99,LSTM,460.6211330848744,7.0
Lăng vua Khải Định,7,99,RF,391.0710568201165,2.0
Lăng vua Khải Định,7,99,SARIMAX,453.1061195820573,5.0
Lăng vua Khải Định,7,99,SeasonalNaive7,453.7647058823531,6.0
Lăng vua Khải Định,7,99,TFT,312.1014121039796,1.0
Lăng vua Khải Định,7,123,ARIMAX,436.6173280353984,3.0
Lăng vua Khải Định,7,123,DLM,484.6988334115075,8.0
Lăng vua Khải Định,7,123,ETS,465.60591447185055,6.0
Lăng vua Khải Định,7,123,LSTM,465.67219882031407,7.0
Lăng vua Khải Định,7,123,RF,395.1596138767957,2.0
Lăng vua Khải Định,7,123,SARIMAX,453.1061195820573,4.0
Lăng vua Khải Định,7,123,SeasonalNaive7,453.7647058823531,5.0
Lăng vua Khải Định,7,123,TFT,295.34462809694406,1.0
Lăng vua Khải Định,7,256,ARIMAX,436.6173280353984,3.0
Lăng vua Khải Định,7,256,DLM,465.22376947468643,7.0
Lăng vua Khải Định,7,256,ETS,465.60591447185055,8.0
Lăng vua Khải Định,7,256,LSTM,463.02292004252683,6.0
Lăng vua Khải Định,7,256,RF,400.1251835844161,2.0
Lăng vua Khải Định,7,256,SARIMAX,453.1061195820573,4.0
Lăng vua Khải Định,7,256,SeasonalNaive7,453.7647058823531,5.0
Lăng vua Khải Định,7,256,TFT,272.7252851454593,1.0
Lăng vua Khải Định,7,512,ARIMAX,436.6173280353984,3.0
Lăng vua Khải Định,7,512,DLM,464.7050118022845,7.0
Lăng vua Khải Định,7,512,ETS,465.60591447185055,8.0
