destination,site,horizon,best_model,vs_model,DM,p_value,champion_significantly_better
Đại Nội,Imperial City (Dai Noi),7,TFT,ARIMAX,-1.9148440038506775,0.05709812331974371,False
Đại Nội,Imperial City (Dai Noi),7,TFT,DLM,-1.8784643993443966,0.061934487032061634,False
Đại Nội,Imperial City (Dai Noi),7,TFT,ETS,-1.7833896044086344,0.07620790822534768,False
Đại Nội,Imperial City (Dai Noi),7,TFT,LSTM,-1.8746743694056431,0.06245744907277387,False
Đại Nội,Imperial City (Dai Noi),7,TFT,RF,-1.5418735682178017,0.1248605084102298,False
Đại Nội,Imperial City (Dai Noi),7,TFT,SARIMAX,-2.0516932384568345,0.04164783411085672,True
Đại Nội,Imperial City (Dai Noi),7,TFT,SeasonalNaive7,-1.745572803181979,0.08259153131113511,False
Đại Nội,Imperial City (Dai Noi),30,TFT,ARIMAX,-3.5020079127622794,0.0005823424943076631,True
Đại Nội,Imperial City (Dai Noi),30,TFT,DLM,-2.913817104141924,0.004023342976269107,True
Đại Nội,Imperial City (Dai Noi),30,TFT,ETS,-3.6084968195771108,0.00039894076226489186,True
Đại Nội,Imperial City (Dai Noi),30,TFT,LSTM,-3.021544295632824,0.0028813192638103037,True
Đại Nội,Imperial City (Dai Noi),30,TFT,RF,-2.640928788830015,0.0089948232900996,True
Đại Nội,Imperial City (Dai Noi),30,TFT,SARIMAX,-4.051037797008364,7.572547690822536e-05,True
Đại Nội,Imperial City (Dai Noi),30,TFT,SeasonalNaive7,-9.20081205505577,8.90438565738515e-17,True
