mean,std,ci_lo,ci_hi,n,metric,destination,model,horizon,site
652.3620496032548,1.198364490607514e-13,652.3620496032547,652.362049603255,10.0,RMSE,Lăng vua Khải Định,SARIMAX,7,Khai Dinh Tomb
23.678202318160356,3.744889033148481e-15,23.678202318160352,23.67820231816036,10.0,MAPE,Lăng vua Khải Định,SARIMAX,7,Khai Dinh Tomb
569.5522340741425,1.198364490607514e-13,569.5522340741423,569.5522340741426,10.0,MAE,Lăng vua Khải Định,SARIMAX,30,Khai Dinh Tomb
718.9653422080789,1.198364490607514e-13,718.9653422080788,718.965342208079,10.0,RMSE,Lăng vua Khải Định,SARIMAX,30,Khai Dinh Tomb
29.182023702675753,0.0,29.182023702675753,29.182023702675753,10.0,MAPE,Lăng vua Khải Định,SARIMAX,30,Khai Dinh Tomb
444.92857142857144,5.99182245303757e-14,444.9285714285714,444.9285714285715,10.0,MAE,Lăng vua Khải Định,SeasonalNaive7,1,Khai Dinh Tomb
752.7242997463092,0.0,752.7242997463092,752.7242997463092,10.0,RMSE,Lăng vua Khải Định,SeasonalNaive7,1,Khai Dinh Tomb
23.84341305224442,0.0,23.84341305224442,23.84341305224442,10.0,MAPE,Lăng vua Khải Định,SeasonalNaive7,1,Khai Dinh Tomb
453.76470588235304,5.99182245303757e-14,453.764705882353,453.7647058823531,10.0,MAE,Lăng vua Khải Định,SeasonalNaive7,7,Khai Dinh Tomb
763.1561464874463,1.198364490607514e-13,763.1561464874462,763.1561464874464,10.0,RMSE,Lăng vua Khải Định,SeasonalNaive7,7,Khai Dinh Tomb
24.2284789831208,3.744889033148481e-15,24.228478983120798,24.228478983120805,10.0,MAPE,Lăng vua Khải Định,SeasonalNaive7,7,Khai Dinh Tomb
651.232044198895,0.0,651.232044198895,651.232044198895,10.0,MAE,Lăng vua Khải Định,SeasonalNaive7,30,Khai Dinh Tomb
838.3117110370571,2.396728981215028e-13,838.3117110370569,838.3117110370573,10.0,RMSE,Lăng vua Khải Định,SeasonalNaive7,30,Khai Dinh Tomb
33.71138388687092,0.0,33.71138388687092,33.71138388687092,10.0,MAPE,Lăng vua Khải Định,SeasonalNaive7,30,Khai Dinh Tomb
329.80541257067944,43.47150878604875,298.70776854684664,360.90305659451224,10.0,MAE,Lăng vua Khải Định,TFT,1,Khai Dinh Tomb
442.0170458951503,50.536656455838816,405.8652996939058,478.16879209639484,10.0,RMSE,Lăng vua Khải Định,TFT,1,Khai Dinh Tomb
19.762138581336153,2.3209200186218606,18.10185241776842,21.422424744903886,10.0,MAPE,Lăng vua Khải Định,TFT,1,Khai Dinh Tomb
324.52902019353206,40.47381817563538,295.5757948498749,353.4822455371892,10.0,MAE,Lăng vua Khải Định,TFT,7,Khai Dinh Tomb
425.2163498902161,57.69365804880037,383.944793173277,466.48790660715525,10.0,RMSE,Lăng vua Khải Định,TFT,7,Khai Dinh Tomb
19.186526233515522,2.4108477749932766,17.46190962838746,20.911142838643585,10.0,MAPE,Lăng vua Khải Định,TFT,7,Khai Dinh Tomb
352.20872795990164,52.48406420433878,314.6638901769925,389.7535657428108,10.0,MAE,Lăng vua Khải Định,TFT,30,Khai Dinh Tomb
443.5366045936415,65.40972151540387,396.74530858882326,490.3279005984598,10.0,RMSE,Lăng vua Khải Định,TFT,30,Khai Dinh Tomb
20.132862383170472,3.024525324096498,17.96924730524142,22.296477461099524,10.0,MAPE,Lăng vua Khải Định,TFT,30,Khai Dinh Tomb
155.18397062848626,2.995911226518785e-14,155.18397062848624,155.1839706284863,10.0,MAE,Lăng vua Minh Mạng,ARIMAX,1,Minh Mang Tomb
249.24254226590452,0.0,249.24254226590452,249.24254226590452,10.0,RMSE,Lăng vua Minh Mạng,ARIMAX,1,Minh Mang Tomb
18.438095236804365,3.744889033148481e-15,18.43809523680436,18.43809523680437,10.0,MAPE,Lăng vua Minh Mạng,ARIMAX,1,Minh Mang Tomb
262.12669800935015,0.0,262.12669800935015,262.12669800935015,10.0,MAE,Lăng vua Minh Mạng,ARIMAX,7,Minh Mang Tomb
380.43197095317316,5.99182245303757e-14,380.4319709531731,380.4319709531732,10.0,RMSE,Lăng vua Minh Mạng,ARIMAX,7,Minh Mang Tomb
27.893733008936344,0.0,27.893733008936344,27.893733008936344,10.0,MAPE,Lăng vua Minh Mạng,ARIMAX,7,Minh Mang Tomb
325.1219642228383,5.99182245303757e-14,325.12196422283824,325.12196422283836,10.0,MAE,Lăng vua Minh Mạng,ARIMAX,30,Minh Mang Tomb
427.1846831665754,5.99182245303757e-14,427.1846831665753,427.18468316657544,10.0,RMSE,Lăng vua Minh Mạng,ARIMAX,30,Minh Mang Tomb
34.27216269558142,0.0,34.27216269558142,34.27216269558142,10.0,MAPE,Lăng vua Minh Mạng,ARIMAX,30,Minh Mang Tomb
145.18542290773001,6.00981383916965,140.8862610741757,149.48458474128432,10.0,MAE,Lăng vua Minh Mạng,DLM,1,Minh Mang Tomb
223.63483274678237,12.316656795462201,214.82402724946027,232.44563824410446,10.0,RMSE,Lăng vua Minh Mạng,DLM,1,Minh Mang Tomb
17.67820530602196,0.6861567955616721,17.18735830372609,18.169052308317834,10.0,MAPE,Lăng vua Minh Mạng,DLM,1,Minh Mang Tomb
207.27250342535217,10.763406034654277,199.57282658650567,214.97218026419867,10.0,MAE,Lăng vua Minh Mạng,DLM,7,Minh Mang Tomb
331.92485806589497,12.174100056010253,323.216031516635,340.63368461515495,10.0,RMSE,Lăng vua Minh Mạng,DLM,7,Minh Mang Tomb
24.37768883730722,1.4834186446733475,23.316515065368275,25.43886260924616,10.0,MAPE,Lăng vua Minh Mạng,DLM,7,Minh Mang Tomb
312.8954206197989,82.77929932382318,253.6786771756261,372.11216406397176,10.0,MAE,Lăng vua Minh Mạng,DLM,30,Minh Mang Tomb
423.92384949045766,72.99055787261251,371.7095498443427,476.1381491365726,10.0,RMSE,Lăng vua Minh Mạng,DLM,30,Minh Mang Tomb
36.12917805179394,9.653670112768662,29.223358468491643,43.03499763509624,10.0,MAPE,Lăng vua Minh Mạng,DLM,30,Minh Mang Tomb
135.6659024982087,2.995911226518785e-14,135.66590249820868,135.66590249820874,10.0,MAE,Lăng vua Minh Mạng,ETS,1,Minh Mang Tomb
227.2910440297439,0.0,227.2910440297439,227.2910440297439,10.0,RMSE,Lăng vua Minh Mạng,ETS,1,Minh Mang Tomb
16.934902710298534,0.0,16.934902710298534,16.934902710298534,10.0,MAPE,Lăng vua Minh Mạng,ETS,1,Minh Mang Tomb
214.83948684728028,0.0,214.83948684728028,214.83948684728028,10.0,MAE,Lăng vua Minh Mạng,ETS,7,Minh Mang Tomb
376.3335504548485,5.99182245303757e-14,376.3335504548484,376.33355045484853,10.0,RMSE,Lăng vua Minh Mạng,ETS,7,Minh Mang Tomb
27.621778939588285,7.489778066296963e-15,27.62177893958828,27.621778939588292,10.0,MAPE,Lăng vua Minh Mạng,ETS,7,Minh Mang Tomb
323.6287665730675,0.0,323.6287665730675,323.6287665730675,10.0,MAE,Lăng vua Minh Mạng,ETS,30,Minh Mang Tomb
468.21299131252465,0.0,468.21299131252465,468.21299131252465,10.0,RMSE,Lăng vua Minh Mạng,ETS,30,Minh Mang Tomb
44.362377216584505,7.489778066296963e-15,44.3623772165845,44.36237721658451,10.0,MAPE,Lăng vua Minh Mạng,ETS,30,Minh Mang Tomb
157.97350656951454,3.2869001892874747,155.62219981981337,160.3248133192157,10.0,MAE,Lăng vua Minh Mạng,LSTM,1,Minh Mang Tomb
256.4878868931172,6.040473336392996,252.16679257649005,260.8089812097444,10.0,RMSE,Lăng vua Minh Mạng,LSTM,1,Minh Mang Tomb
