MAE,RMSE,MSE,MAPE,R2,destination,model,horizon,seed
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,1
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,7
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,42
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,77
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,99
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,123
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,256
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,512
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,2024
260.6166625122205,400.16579322554577,160132.66206783024,13.452345915075945,0.6365366183426442,Lăng vua Khải Định,ARIMAX,1,2025
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,1
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,7
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,42
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,77
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,99
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,123
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,256
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,512
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,2024
436.6173280353984,726.6326015619945,527994.9376527523,23.17340637537929,-0.21427806049416187,Lăng vua Khải Định,ARIMAX,7,2025
623.0520143892384,822.7951677671965,676991.888101049,33.47508043342528,-0.7893229590399033,Lăng vua Khải Định,ARIMAX,30,1
623.0520143892384,822.7951677671965,676991.888101049,33.47508043342528,-0.7893229590399033,Lăng vua Khải Định,ARIMAX,30,7
