model,fit_mean_s,fit_std_s,infer_mean_s,n_runs
SeasonalNaive7,2.1457672119140625e-06,4.1295309247228556e-07,0.12472820281982422,3
DLM,0.11601436932881673,0.017533850701165345,1.8117122491200766,30
ETS,0.314543883005778,0.06672970285029145,73.66778508822124,3
LSTM,0.3783947229385376,1.1506255869643498,2.7118475596110025,30
RF,0.9760078668594361,0.05998996901670476,398.954194410642,30
SARIMAX,1.8892772197723389,0.31980871913679915,3.980416695276896,3
ARIMAX,2.0895463625590005,0.3730629050625723,70.387189467748,3
TFT,45.249709741274515,0.455658284202387,0.6464426676432292,30
